Height, Width, X, Y, Weight, Density, Too Long, Too Small
49, 58, 1222, 1554, 1168, 0.41097818437719913, False, False
34, 56, 1117, 619, 1010, 0.5304621848739496, False, False
54, 58, 1397, 1019, 1000, 0.31928480204342274, False, False
51, 60, 765, 1575, 975, 0.31862745098039214, False, False
36, 59, 941, 1168, 925, 0.4354990583804143, False, False
45, 60, 1194, 541, 887, 0.32851851851851854, False, False
39, 62, 697, 1482, 874, 0.36145574855252277, False, False
186, 10, 1931, 1304, 868, 0.4666666666666667, True, False
50, 59, 1534, 1628, 860, 0.29152542372881357, False, False
50, 56, 1273, 539, 857, 0.30607142857142855, False, False
46, 63, 1022, 822, 844, 0.2912353347135956, False, False
52, 61, 832, 454, 844, 0.266078184110971, False, False
53, 68, 730, 842, 842, 0.23362930077691454, False, False
47, 53, 1248, 1084, 827, 0.3319951826575672, False, False
40, 59, 1192, 617, 814, 0.34491525423728814, False, False
45, 55, 973, 593, 811, 0.3276767676767677, False, False
53, 60, 1079, 1387, 808, 0.2540880503144654, False, False
49, 60, 1095, 1068, 808, 0.2748299319727891, False, False
51, 56, 1422, 417, 800, 0.2801120448179272, False, False
42, 51, 1250, 1020, 793, 0.37021475256769376, False, False
52, 58, 1616, 1444, 782, 0.2592838196286472, False, False
46, 44, 1460, 1565, 781, 0.3858695652173913, False, False
47, 56, 1217, 1686, 777, 0.29521276595744683, False, False
54, 62, 1127, 385, 775, 0.23148148148148148, False, False
41, 54, 1422, 560, 771, 0.34823848238482386, False, False
62, 56, 1199, 395, 750, 0.21601382488479262, False, False
54, 52, 718, 1191, 748, 0.26638176638176636, False, False
48, 51, 1073, 1622, 744, 0.30392156862745096, False, False
51, 51, 1494, 489, 731, 0.28104575163398693, False, False
53, 55, 793, 1154, 729, 0.25008576329331045, False, False
49, 52, 591, 774, 724, 0.28414442700156983, False, False
44, 42, 813, 966, 722, 0.3906926406926407, False, False
48, 46, 968, 726, 719, 0.32563405797101447, False, False
46, 54, 975, 386, 704, 0.2834138486312399, False, False
44, 52, 1336, 635, 701, 0.3063811188811189, False, False
53, 60, 1077, 1239, 695, 0.21855345911949686, False, False
45, 52, 1175, 958, 689, 0.29444444444444445, False, False
48, 45, 657, 1042, 686, 0.3175925925925926, False, False
51, 60, 1261, 619, 683, 0.22320261437908498, False, False
41, 48, 877, 975, 676, 0.3434959349593496, False, False
41, 46, 830, 597, 670, 0.3552492046659597, False, False
45, 57, 1233, 1274, 661, 0.2576998050682261, False, False
46, 49, 1054, 470, 656, 0.29103815439219166, False, False
29, 49, 3215, 423, 655, 0.4609429978888107, False, False
52, 57, 995, 1596, 651, 0.21963562753036436, False, False
43, 45, 724, 1125, 643, 0.33229974160206716, False, False
42, 54, 1296, 1752, 639, 0.28174603174603174, False, False
48, 48, 1620, 1381, 628, 0.2725694444444444, False, False
42, 50, 647, 1188, 616, 0.29333333333333333, False, False
129, 11, 2010, 1472, 613, 0.4319943622269204, True, False
40, 50, 680, 592, 609, 0.3045, False, False
222, 10, 1788, 576, 608, 0.27387387387387385, True, False
49, 51, 782, 1300, 604, 0.2416966786714686, False, False
37, 61, 1376, 1638, 600, 0.2658396101019052, False, False
41, 47, 708, 1367, 589, 0.30565646081992737, False, False
45, 48, 1552, 1304, 586, 0.2712962962962963, False, False
56, 58, 571, 1112, 576, 0.17733990147783252, False, False
52, 52, 760, 456, 573, 0.21190828402366865, False, False
47, 54, 1563, 850, 570, 0.22458628841607564, False, False
55, 38, 1450, 1423, 564, 0.2698564593301435, False, False
37, 42, 1185, 906, 561, 0.361003861003861, False, False
34, 56, 778, 1374, 560, 0.29411764705882354, False, False
157, 8, 2440, 1069, 559, 0.4450636942675159, True, False
49, 53, 969, 664, 553, 0.21293800539083557, False, False
43, 51, 1479, 1037, 550, 0.2507979936160511, False, False
46, 54, 1336, 769, 547, 0.22020933977455717, False, False
50, 56, 729, 977, 546, 0.195, False, False
28, 57, 1418, 495, 544, 0.3408521303258145, False, False
45, 52, 1400, 1095, 532, 0.22735042735042735, False, False
40, 55, 1550, 1055, 525, 0.23863636363636365, False, False
83, 31, 1027, 670, 521, 0.20248736883015936, False, False
34, 48, 852, 1434, 517, 0.3167892156862745, False, False
46, 56, 1331, 908, 513, 0.19914596273291926, False, False
46, 40, 1238, 1407, 509, 0.2766304347826087, False, False
54, 55, 612, 437, 498, 0.16767676767676767, False, False
32, 45, 689, 462, 496, 0.34444444444444444, False, False
37, 40, 1466, 1298, 494, 0.33378378378378376, False, False
29, 45, 1164, 1217, 494, 0.378544061302682, False, False
51, 54, 958, 853, 494, 0.1793754538852578, False, False
49, 56, 1200, 475, 494, 0.18002915451895043, False, False
56, 44, 761, 1721, 490, 0.19886363636363635, False, False
31, 53, 1162, 1272, 490, 0.29823493609251367, False, False
37, 52, 1374, 1757, 483, 0.251039501039501, False, False
51, 40, 910, 593, 481, 0.2357843137254902, False, False
37, 55, 1106, 900, 477, 0.2343980343980344, False, False
47, 47, 1494, 558, 470, 0.2127659574468085, False, False
44, 51, 816, 903, 469, 0.2090017825311943, False, False
35, 52, 1406, 915, 468, 0.2571428571428571, False, False
46, 50, 588, 838, 458, 0.1991304347826087, False, False
48, 56, 834, 384, 458, 0.17038690476190477, False, False
157, 9, 1479, 584, 454, 0.3213021939136589, True, False
33, 40, 1077, 1688, 452, 0.3424242424242424, False, False
37, 42, 1147, 1681, 450, 0.28957528957528955, False, False
41, 39, 1053, 754, 447, 0.2795497185741088, False, False
142, 11, 2441, 782, 446, 0.2855313700384123, True, False
50, 37, 891, 594, 445, 0.24054054054054055, False, False
40, 44, 1258, 777, 441, 0.2505681818181818, False, False
44, 32, 1024, 753, 441, 0.3132102272727273, False, False
31, 51, 1092, 1136, 438, 0.27703984819734345, False, False
16, 48, 1177, 1104, 437, 0.5690104166666666, True, False
30, 39, 884, 920, 433, 0.3700854700854701, False, False
34, 53, 1409, 808, 432, 0.2397336293007769, False, False
36, 42, 714, 1289, 430, 0.2843915343915344, False, False
40, 48, 1387, 1379, 426, 0.221875, False, False
40, 50, 1418, 690, 424, 0.212, False, False
36, 46, 1564, 921, 423, 0.2554347826086957, False, False
31, 48, 1489, 808, 417, 0.28024193548387094, False, False
35, 47, 962, 796, 416, 0.252887537993921, False, False
40, 38, 1056, 673, 416, 0.2736842105263158, False, False
34, 43, 1181, 1017, 413, 0.28248974008207933, False, False
41, 37, 916, 1668, 407, 0.2682926829268293, False, False
41, 39, 737, 909, 405, 0.25328330206378985, False, False
28, 45, 790, 1227, 404, 0.32063492063492066, False, False
42, 46, 1579, 503, 403, 0.20859213250517597, False, False
34, 49, 1257, 843, 402, 0.24129651860744297, False, False
35, 42, 679, 661, 398, 0.2707482993197279, False, False
39, 32, 1100, 951, 387, 0.31009615384615385, False, False
20, 43, 774, 1514, 382, 0.4441860465116279, False, False
36, 35, 1372, 1700, 378, 0.3, False, False
40, 36, 668, 898, 372, 0.25833333333333336, False, False
135, 7, 1870, 592, 367, 0.38835978835978835, True, False
37, 52, 764, 390, 365, 0.1897089397089397, False, False
44, 45, 1640, 1378, 363, 0.18333333333333332, False, False
42, 49, 1407, 859, 362, 0.17589893100097181, False, False
39, 45, 635, 1555, 355, 0.2022792022792023, False, False
41, 49, 1489, 755, 354, 0.17620706819313092, False, False
41, 52, 1487, 854, 353, 0.16557223264540338, False, False
33, 51, 628, 1475, 347, 0.20617944147355913, False, False
45, 30, 1033, 1386, 347, 0.25703703703703706, False, False
39, 50, 940, 1241, 346, 0.17743589743589744, False, False
35, 45, 1277, 487, 346, 0.21968253968253967, False, False
