Height, Width, X, Y, Weight, Density, Too Long, Too Small,,, X, Width
49,58,1222,1554,1168,0.410978184, False, False,,,1222,58
34,56,1117,619,1010,0.530462185, False, False,,,1117,56
54,58,1397,1019,1000,0.319284802, False, False,,,1397,58
51,60,765,1575,975,0.318627451, False, False,,,765,60
36,59,941,1168,925,0.435499058, False, False,,,941,59
45,60,1194,541,887,0.328518519, False, False,,,1194,60
39,62,697,1482,874,0.361455749, False, False,,,697,62
50,59,1534,1628,860,0.291525424, False, False,,,1534,59
50,56,1273,539,857,0.306071429, False, False,,,1273,56
46,63,1022,822,844,0.291235335, False, False,,,1022,63
52,61,832,454,844,0.266078184, False, False,,,832,61
53,68,730,842,842,0.233629301, False, False,,,730,68
47,53,1248,1084,827,0.331995183, False, False,,,1248,53
40,59,1192,617,814,0.344915254, False, False,,,1192,59
45,55,973,593,811,0.327676768, False, False,,,973,55
53,60,1079,1387,808,0.25408805, False, False,,,1079,60
49,60,1095,1068,808,0.274829932, False, False,,,1095,60
51,56,1422,417,800,0.280112045, False, False,,,1422,56
42,51,1250,1020,793,0.370214753, False, False,,,1250,51
52,58,1616,1444,782,0.25928382, False, False,,,1616,58
46,44,1460,1565,781,0.385869565, False, False,,,1460,44
47,56,1217,1686,777,0.295212766, False, False,,,1217,56
54,62,1127,385,775,0.231481481, False, False,,,1127,62
41,54,1422,560,771,0.348238482, False, False,,,1422,54
62,56,1199,395,750,0.216013825, False, False,,,1199,56
54,52,718,1191,748,0.266381766, False, False,,,718,52
48,51,1073,1622,744,0.303921569, False, False,,,1073,51
51,51,1494,489,731,0.281045752, False, False,,,1494,51
53,55,793,1154,729,0.250085763, False, False,,,793,55
49,52,591,774,724,0.284144427, False, False,,,591,52
44,42,813,966,722,0.390692641, False, False,,,813,42
48,46,968,726,719,0.325634058, False, False,,,968,46
46,54,975,386,704,0.283413849, False, False,,,975,54
44,52,1336,635,701,0.306381119, False, False,,,1336,52
53,60,1077,1239,695,0.218553459, False, False,,,1077,60
45,52,1175,958,689,0.294444444, False, False,,,1175,52
48,45,657,1042,686,0.317592593, False, False,,,657,45
51,60,1261,619,683,0.223202614, False, False,,,1261,60
41,48,877,975,676,0.343495935, False, False,,,877,48
41,46,830,597,670,0.355249205, False, False,,,830,46
45,57,1233,1274,661,0.257699805, False, False,,,1233,57
46,49,1054,470,656,0.291038154, False, False,,,1054,49
29,49,3215,423,655,0.460942998, False, False,,,3215,49
52,57,995,1596,651,0.219635628, False, False,,,995,57
43,45,724,1125,643,0.332299742, False, False,,,724,45
42,54,1296,1752,639,0.281746032, False, False,,,1296,54
48,48,1620,1381,628,0.272569444, False, False,,,1620,48
42,50,647,1188,616,0.293333333, False, False,,,647,50
40,50,680,592,609,0.3045, False, False,,,680,50
49,51,782,1300,604,0.241696679, False, False,,,782,51
37,61,1376,1638,600,0.26583961, False, False,,,1376,61
41,47,708,1367,589,0.305656461, False, False,,,708,47
45,48,1552,1304,586,0.271296296, False, False,,,1552,48
56,58,571,1112,576,0.177339901, False, False,,,571,58
52,52,760,456,573,0.211908284, False, False,,,760,52
47,54,1563,850,570,0.224586288, False, False,,,1563,54
55,38,1450,1423,564,0.269856459, False, False,,,1450,38
37,42,1185,906,561,0.361003861, False, False,,,1185,42
34,56,778,1374,560,0.294117647, False, False,,,778,56
49,53,969,664,553,0.212938005, False, False,,,969,53
43,51,1479,1037,550,0.250797994, False, False,,,1479,51
46,54,1336,769,547,0.22020934, False, False,,,1336,54
50,56,729,977,546,0.195, False, False,,,729,56
28,57,1418,495,544,0.34085213, False, False,,,1418,57
45,52,1400,1095,532,0.227350427, False, False,,,1400,52
40,55,1550,1055,525,0.238636364, False, False,,,1550,55
83,31,1027,670,521,0.202487369, False, False,,,1027,31
34,48,852,1434,517,0.316789216, False, False,,,852,48
46,56,1331,908,513,0.199145963, False, False,,,1331,56
46,40,1238,1407,509,0.276630435, False, False,,,1238,40
54,55,612,437,498,0.167676768, False, False,,,612,55
32,45,689,462,496,0.344444444, False, False,,,689,45
37,40,1466,1298,494,0.333783784, False, False,,,1466,40
29,45,1164,1217,494,0.378544061, False, False,,,1164,45
51,54,958,853,494,0.179375454, False, False,,,958,54
49,56,1200,475,494,0.180029155, False, False,,,1200,56
56,44,761,1721,490,0.198863636, False, False,,,761,44
31,53,1162,1272,490,0.298234936, False, False,,,1162,53
37,52,1374,1757,483,0.251039501, False, False,,,1374,52
51,40,910,593,481,0.235784314, False, False,,,910,40
37,55,1106,900,477,0.234398034, False, False,,,1106,55
47,47,1494,558,470,0.212765957, False, False,,,1494,47
44,51,816,903,469,0.209001783, False, False,,,816,51
35,52,1406,915,468,0.257142857, False, False,,,1406,52
46,50,588,838,458,0.199130435, False, False,,,588,50
48,56,834,384,458,0.170386905, False, False,,,834,56
33,40,1077,1688,452,0.342424242, False, False,,,1077,40
37,42,1147,1681,450,0.28957529, False, False,,,1147,42
41,39,1053,754,447,0.279549719, False, False,,,1053,39
50,37,891,594,445,0.240540541, False, False,,,891,37
40,44,1258,777,441,0.250568182, False, False,,,1258,44
44,32,1024,753,441,0.313210227, False, False,,,1024,32
31,51,1092,1136,438,0.277039848, False, False,,,1092,51
30,39,884,920,433,0.37008547, False, False,,,884,39
34,53,1409,808,432,0.239733629, False, False,,,1409,53
